Date,Home,xG_Home,xG_Away,Away,Referee,xGA_Home,xGA_Away,Home_Fatigue,Away_Fatigue,Temp,Humidity,Wind,Referee_Bias,G_Home,G_Away,Result
10-08-2018 20:00,Manchester Utd,0.6,0.7,Leicester City,Andre Marriner,0.5,0.7,Moderate,High,Low,High,High,Home,0,3,Away
11-08-2018 12:30,Newcastle Utd,1.2,2.9,Tottenham,Martin Atkinson,0.8,1.2,Moderate,Moderate,Moderate,High,Moderate,Away,2,4,Away
11-08-2018 15:00,Fulham,0.7,0.5,Crystal Palace,Mike Dean,0.6,0.1,Low,Low,Low,High,Low,Away,0,0,Draw
11-08-2018 15:00,Bournemouth,2,1.2,Cardiff City,Kevin Friend,0.8,0.3,Low,Moderate,Low,High,Moderate,Home,1,0,Home
11-08-2018 15:00,Watford,2.3,2.3,Brighton,Jonathan Moss,2.1,2.2,Moderate,High,Low,High,Low,Away,1,3,Away
11-08-2018 17:30,Wolves,0.8,1.9,Everton,Craig Pawson,0.6,0.5,Low,Low,Low,Moderate,Moderate,Away,2,2,Draw
12-08-2018 13:30,Southampton,2.7,0.9,Burnley,Graham Scott,0.9,0,Low,Moderate,Low,Moderate,Low,Home,1,1,Draw
12-08-2018 13:30,Liverpool,1.8,1.2,West Ham,Anthony Taylor,1.3,1.2,Moderate,Moderate,Low,High,Low,Away,1,1,Draw
12-08-2018 16:00,Arsenal,0.7,0.7,Manchester City,Michael Oliver,0.6,0.5,Moderate,Moderate,Low,High,Low,Home,1,1,Draw
18-08-2018 12:30,Cardiff City,4.1,0.8,Newcastle Utd,Craig Pawson,3.3,0.7,Moderate,Low,Low,High,Low,Away,3,1,Home
18-08-2018 15:00,West Ham,1.1,0.6,Bournemouth,Stuart Attwell,0.6,0.6,Moderate,High,Low,High,Low,Home,1,2,Away
18-08-2018 15:00,Everton,1,0.5,Southampton,Lee Mason,0.9,0.3,Low,Low,Low,High,High,Away,1,2,Away
18-08-2018 15:00,Leicester City,0.9,1.2,Wolves,Mike Dean,0.8,1.1,Low,Low,Moderate,Moderate,High,Home,2,2,Draw
18-08-2018 15:00,Tottenham,2.8,0.8,Fulham,Anthony Taylor,2.1,0.7,High,Moderate,Moderate,High,Moderate,Home,3,0,Home
18-08-2018 17:30,Chelsea,0.5,0.4,Arsenal,Martin Atkinson,0.4,0.3,Low,Moderate,Moderate,Moderate,Low,Home,0,0,Draw
19-08-2018 13:30,Burnley,1.9,0.8,Watford,Paul Tierney,1.3,0.8,Moderate,Moderate,Low,High,Low,Home,4,1,Home
19-08-2018 16:00,Brighton,1.6,1.2,Manchester Utd,Kevin Friend,1.6,0.9,Moderate,High,Moderate,High,Low,Away,1,2,Away
20-08-2018 20:00,Crystal Palace,0.8,0.7,Liverpool,Michael Oliver,0.3,0.7,Low,Low,Moderate,High,Moderate,Home,1,2,Away
25-08-2018 12:30,Wolves,1.6,0.3,Manchester City,Martin Atkinson,1.6,1,Low,Low,Moderate,Moderate,Low,Away,4,0,Home
25-08-2018 15:00,Arsenal,2.1,1.3,West Ham,Graham Scott,1.7,1.2,Low,Low,Low,Moderate,Low,Away,2,3,Away
25-08-2018 15:00,Southampton,1.8,0.6,Leicester City,Jonathan Moss,0.9,0.6,Moderate,Moderate,Moderate,Moderate,Low,Away,0,1,Away
25-08-2018 15:00,Bournemouth,0.5,1.3,Everton,Lee Probert,0.5,1.1,Low,Low,Moderate,Moderate,Low,Home,1,0,Home
25-08-2018 17:30,Liverpool,1.7,1.5,Brighton,Chris Kavanagh,1.7,0.4,Moderate,Moderate,Low,High,High,Away,3,1,Home
26-08-2018 13:30,Watford,1.2,2.2,Crystal Palace,Anthony Taylor,0.7,1.4,Low,Low,Low,High,Moderate,Away,1,2,Away
26-08-2018 16:00,Fulham,2.8,1.6,Burnley,David Coote,0.8,0.6,Moderate,Moderate,Moderate,Moderate,Low,Home,2,2,Draw
26-08-2018 16:00,Newcastle Utd,1,2.1,Chelsea,Paul Tierney,0.9,1.6,Low,Moderate,Moderate,High,High,Home,1,1,Draw
27-08-2018 20:00,Manchester Utd,0.6,1.4,Tottenham,Craig Pawson,0.4,1.3,Moderate,Moderate,Low,High,Low,Home,1,3,Away
01-09-2018 12:30,Leicester City,1.1,2.8,Liverpool,Paul Tierney,0.3,2.5,Low,Low,Low,High,Low,Home,1,6,Away
01-09-2018 15:00,Crystal Palace,3.7,0.4,Southampton,Martin Atkinson,3,0.4,Low,Low,Low,Moderate,Low,Home,2,0,Home
01-09-2018 15:00,Brighton,2.4,2.3,Fulham,Lee Probert,0.7,1.3,Moderate,Low,Moderate,Moderate,Low,Away,3,1,Home
01-09-2018 15:00,Chelsea,0.6,0.8,Bournemouth,Lee Mason,0.5,0.5,Moderate,High,Low,High,Moderate,Home,1,1,Draw
01-09-2018 15:00,West Ham,1.3,1.3,Wolves,Chris Kavanagh,1.3,1.2,Low,High,Moderate,High,Low,Away,0,2,Away
01-09-2018 17:30,Manchester City,2.6,1.4,Newcastle Utd,Kevin Friend,2.4,0.9,Moderate,Low,Moderate,Moderate,Low,Away,3,0,Home
02-09-2018 13:30,Cardiff City,1.9,0.2,Arsenal,Anthony Taylor,0.8,0.1,Low,Low,Moderate,Moderate,Low,Home,1,0,Home
02-09-2018 16:00,Watford,0.3,1,Tottenham,Andre Marriner,0.3,0.9,Moderate,High,Low,High,Moderate,Away,0,1,Away
02-09-2018 16:00,Burnley,0.9,1.5,Manchester Utd,Jonathan Moss,0.5,0.7,Moderate,Low,Low,High,Low,Home,0,2,Away
15-09-2018 12:30,Tottenham,1.4,0.9,Liverpool,Michael Oliver,1.1,0.8,Low,Low,Moderate,Moderate,Low,Away,2,3,Away
15-09-2018 15:00,Manchester City,2.4,1.5,Fulham,Stuart Attwell,3.1,0.2,Low,Low,Moderate,High,Moderate,Home,1,1,Draw
15-09-2018 15:00,Newcastle Utd,1.5,2.4,Arsenal,Lee Probert,1.1,0.7,Moderate,Low,Low,High,Low,Away,2,3,Away
15-09-2018 15:00,Bournemouth,0.9,0.9,Leicester City,Craig Pawson,0.7,0.9,Moderate,Low,Low,High,Moderate,Home,1,2,Away
15-09-2018 15:00,Chelsea,2.4,0.6,Cardiff City,Jonathan Moss,0.7,0.4,Low,Low,Low,High,Low,Home,2,1,Home
15-09-2018 17:30,Watford,1.2,1.4,Manchester Utd,Mike Dean,2.6,0.6,Moderate,Moderate,Low,High,Low,Away,1,1,Draw
16-09-2018 13:30,Wolves,5.9,0.4,Burnley,Andre Marriner,4.3,0.4,Moderate,Moderate,Moderate,Moderate,Moderate,Home,8,0,Home
16-09-2018 16:00,Everton,0.9,1.5,West Ham,Martin Atkinson,0.8,1.3,Moderate,High,Moderate,Moderate,Moderate,Home,1,1,Draw
17-09-2018 20:00,Southampton,0.5,2.5,Brighton,Anthony Taylor,0.4,1.6,Moderate,Moderate,Moderate,High,Moderate,Home,0,2,Away
