Date,Home,xG_Home,xG_Away,Away,Referee,xGA_Home,xGA_Away,Home_Fatigue,Away_Fatigue,Temp,Humidity,Wind,Referee_Bias,G_Home,G_Away,Result
10-08-2018 20:00,Manchester Utd,1.5,1.8,Leicester City,Andre Marriner,0.7,0.8,Low,Low,Moderate,Moderate,Moderate,Away,2,1,Home
11-08-2018 12:30,Newcastle Utd,1.0,2.0,Tottenham,Martin Atkinson,0.7,1.9,Low,Moderate,Moderate,Moderate,Moderate,Away,1,2,Away
11-08-2018 15:00,Fulham,0.7,1.0,Crystal Palace,Mike Dean,0.5,0.9,Low,Low,Moderate,Moderate,Moderate,Home,0,2,Away
11-08-2018 15:00,Bournemouth,2.2,1.4,Cardiff City,Kevin Friend,1.3,1.5,Low,Low,Moderate,High,Moderate,Home,2,0,Home
11-08-2018 15:00,Watford,1.2,0.3,Brighton,Jonathan Moss,0.9,0.3,Low,Low,Moderate,Moderate,Moderate,Home,2,0,Home
11-08-2018 17:30,Wolves,1.0,1.0,Everton,Craig Pawson,0.7,0.9,Low,Low,Moderate,High,Moderate,Away,2,2,Draw
12-08-2018 13:30,Southampton,1.1,1.4,Burnley,Graham Scott,1.1,0.6,Low,Moderate,Moderate,High,Moderate,Home,0,0,Draw
12-08-2018 13:30,Liverpool,4.0,0.7,West Ham,Anthony Taylor,3.2,0.7,Low,Moderate,Moderate,High,Low,Home,4,0,Home
12-08-2018 16:00,Arsenal,0.5,1.7,Manchester City,Michael Oliver,0.5,0.5,Low,Moderate,Moderate,Moderate,Moderate,Away,0,2,Away
18-08-2018 12:30,Cardiff City,0.9,1.6,Newcastle Utd,Craig Pawson,0.4,1.3,Low,Moderate,Moderate,High,Moderate,Away,0,0,Draw
18-08-2018 15:00,West Ham,1.2,1.3,Bournemouth,Stuart Attwell,1.5,0.9,Low,Low,Moderate,Moderate,Moderate,Away,1,2,Away
18-08-2018 15:00,Everton,1.5,1.7,Southampton,Lee Mason,0.2,0.5,Low,Moderate,Moderate,High,Moderate,Home,2,1,Home
18-08-2018 15:00,Leicester City,0.2,1.1,Wolves,Mike Dean,1.8,1.6,Low,Low,Moderate,Moderate,Moderate,Home,2,0,Home
18-08-2018 15:00,Tottenham,2.9,1.6,Fulham,Anthony Taylor,1.4,2.3,Low,Low,Moderate,Moderate,Moderate,Home,3,1,Home
18-08-2018 17:30,Chelsea,1.6,2.4,Arsenal,Martin Atkinson,0.5,0.7,Low,Low,Moderate,Moderate,Moderate,Away,3,2,Home
19-08-2018 13:30,Burnley,0.6,1.5,Watford,Paul Tierney,2.8,0.6,Low,Moderate,Moderate,High,Moderate,Away,1,3,Away
19-08-2018 16:00,Brighton,1.7,1.4,Manchester Utd,Kevin Friend,0.3,1.6,Low,Moderate,Moderate,High,Moderate,Home,3,2,Home
20-08-2018 20:00,Crystal Palace,0.4,2.6,Liverpool,Michael Oliver,0.9,1.2,Low,Moderate,Moderate,High,Low,Away,0,2,Away
25-08-2018 12:30,Wolves,1.0,1.6,Manchester City,Martin Atkinson,0.4,0.5,Low,Low,Moderate,Moderate,Low,Away,1,1,Draw
25-08-2018 15:00,Arsenal,1.8,1.1,West Ham,Graham Scott,0.1,0.8,Low,Low,Moderate,Moderate,Low,Home,3,1,Home
25-08-2018 15:00,Southampton,0.5,0.6,Leicester City,Jonathan Moss,1.1,0.5,Low,Low,Moderate,Moderate,Low,Home,1,2,Away
25-08-2018 15:00,Bournemouth,2.2,0.6,Everton,Lee Probert,0.5,0.5,Low,Moderate,Moderate,Moderate,Low,Home,2,2,Draw
25-08-2018 17:30,Liverpool,1.6,0.6,Brighton,Chris Kavanagh,1.2,0.8,Moderate,High,Moderate,Moderate,Moderate,Home,1,0,Home
26-08-2018 13:30,Watford,1.2,1.0,Crystal Palace,Anthony Taylor,0.2,0.4,Low,Moderate,Moderate,High,Moderate,Home,2,1,Home
26-08-2018 16:00,Fulham,1.3,1.5,Burnley,David Coote,1.0,0.9,Low,Moderate,Moderate,High,Moderate,Home,4,2,Home
26-08-2018 16:00,Newcastle Utd,0.2,1.5,Chelsea,Paul Tierney,0.9,0.8,Low,Moderate,Moderate,High,Low,Away,1,2,Away
27-08-2018 20:00,Manchester Utd,1.5,1.2,Tottenham,Craig Pawson,2.6,1.3,Low,Moderate,Moderate,High,Moderate,Away,0,3,Away
01-09-2018 12:30,Leicester City,1.0,1.0,Liverpool,Paul Tierney,0.8,0.8,Moderate,Moderate,Moderate,Moderate,Low,Away,1,2,Away
01-09-2018 15:00,Crystal Palace,2.4,2.7,Southampton,Martin Atkinson,0.8,0.2,Moderate,Low,Moderate,Moderate,Low,Away,0,2,Away
01-09-2018 15:00,Brighton,2.8,1.6,Fulham,Lee Probert,0.8,0.6,Moderate,Moderate,Moderate,Moderate,Low,Home,2,2,Draw
01-09-2018 15:00,Chelsea,1.1,0.9,Bournemouth,Lee Mason,1.5,0.4,Moderate,Low,Moderate,Moderate,Low,Home,2,0,Home
01-09-2018 15:00,West Ham,1.1,1.0,Wolves,Chris Kavanagh,0.4,0.6,Low,Low,Moderate,Moderate,Low,Home,0,1,Away
